name,size,type,alignment,ac,hp,move,str,dex,con,int,wis,cha,challenge,saves,total_save_bonus,skills,senses,languages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,DPR,attack_bonus,
Aboleth,Large,aberration,lawful evil,17,135,"10 ft., swim 40 ft.",21,9,15,18,15,18,10,"CON +6, INT +8, WIS +6",20,"History +12, Perception +10","Darkvision 120 ft.,  Passive Perception 20","Deep Speech, Telepathy 120 ft.",,,,,13,9,
Acolyte,Medium,humanoid,any alignment,10,9,30 ft.,10,10,10,10,14,11,0.25,,0,"Medicine +4, Religion +2",Passive Perception 12,Any one language (usually Common),,,,,2.5,2,
Adult Black Dragon,Huge,dragon,chaotic evil,19,195,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,14,"DEX +7, CON +10, WIS +6, CHA +8",22,"Perception +11, Stealth +7","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 21","Common, Draconic",,,Acid,,47,11,
Adult Blue Dragon,Huge,dragon,lawful evil,19,225,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,16,"DEX +5, CON +11, WIS +7, CHA +9",23,"Perception +12, Stealth +5","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 22","Common, Draconic",,,Lightning,,51.5,12,
Adult Brass Dragon,Huge,dragon,chaotic good,18,172,"40 ft., burrow 30 ft., fly 80 ft.",23,10,21,14,13,17,13,"DEX +5, CON +10, WIS +6, CHA +8",20,"History +7, Perception +11, Persuasion +8, Stealth +5","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 21","Common, Draconic",,,Fire,,43,11,
Adult Bronze Dragon,Huge,dragon,lawful good,19,212,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,15,"DEX +5, CON +11, WIS +7, CHA +9",23,"Insight +7, Perception +12, Stealth +5","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 22","Common, Draconic",,,Lightning,,46,12,
Adult Copper Dragon,Huge,dragon,chaotic good,18,184,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,14,"DEX +6, CON +10, WIS +7, CHA +8",22,"Deception +8, Perception +12, Stealth +6","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 22","Common, Draconic",,,Acid,,43,11,
Adult Gold Dragon,Huge,dragon,lawful good,19,256,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,17,"DEX +8, CON +13, WIS +8, CHA +13",24,"Insight +8, Perception +14, Persuasion +13, Stealth +8","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 24","Common, Draconic",,,Fire,,49,14,
Adult Green Dragon,Huge,dragon,lawful evil,19,207,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,15,"DEX +6, CON +10, WIS +7, CHA +8",22,"Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 22","Common, Draconic",,,Poison,Poisoned,40,11,
Adult Red Dragon,Huge,dragon,chaotic evil,19,256,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,17,"DEX +6, CON +13, WIS +7, CHA +11",19,"Perception +13, Stealth +6","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 23","Common, Draconic",,,Fire,,56,14,
Adult Silver Dragon,Huge,dragon,lawful good,19,243,"40 ft., fly 80 ft.",27,10,25,16,13,21,16,"DEX +5, CON +12, WIS +6, CHA +10",15,"Arcana +8, History +8, Perception +11, Stealth +5","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 21","Common, Draconic",,,Cold,,49,13,
Adult White Dragon,Huge,dragon,chaotic evil,18,200,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",22,10,22,8,12,12,13,"DEX +5, CON +11, WIS +6, CHA +6",19,"Perception +11, Stealth +5","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 21","Common, Draconic",,,Cold,,47,11,
Air Elemental,Large,elemental,neutral,15,90,"0 ft., fly 90 ft. (hover)",14,20,14,6,10,6,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Auran,,"Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",28,8,
Allosaurus,Large,beast,unaligned,13,51,60 ft.,19,13,17,2,12,5,2,,0,Perception +5,Passive Perception 15,--,,,,,15,6,
Ancient Black Dragon,Gargantuan,dragon,chaotic evil,22,367,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,19,21,"DEX +9, CON +14, WIS +9, CHA +11",25,"Perception +16, Stealth +9","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 26","Common, Draconic",,,Acid,,58,15,
Ancient Blue Dragon,Gargantuan,dragon,lawful evil,22,481,"40 ft., burrow 40 ft., fly 80 ft.",29,10,27,18,17,21,23,"DEX +7, CON +15, WIS +10, CHA +12",17,"Perception +17, Stealth +7","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 27","Common, Draconic",,,Lightning,,62,16,
Ancient Brass Dragon,Gargantuan,dragon,chaotic good,20,297,"40 ft., burrow 40 ft., fly 80 ft.",27,10,25,16,15,19,20,"DEX +6, CON +13, WIS +8, CHA +10",19,"History +9, Perception +14, Persuasion +10, Stealth +6","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 24","Common, Draconic",,,Fire,,49,14,
Ancient Bronze Dragon,Gargantuan,dragon,lawful good,22,444,"40 ft., fly 80 ft., swim 40 ft.",29,10,27,18,17,21,22,"DEX +7, CON +15, WIS +10, CHA +12",17,"Insight +10, Perception +17, Stealth +7","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 27","Common, Draconic",,,Lightning,,52,16,
Ancient Copper Dragon,Gargantuan,dragon,chaotic good,21,350,"40 ft., climb 40 ft., fly 80 ft.",27,12,25,20,17,19,21,"DEX +8, CON +14, WIS +10, CHA +11",16,"Deception +11, Perception +17, Stealth +8","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 27","Common, Draconic",,,Acid,,49,15,
Ancient Gold Dragon,Gargantuan,dragon,lawful good,22,546,"40 ft., fly 80 ft., swim 40 ft.",30,14,29,18,17,28,24,"DEX +9, CON +16, WIS +10, CHA +16",24,"Insight +10, Perception +17, Persuasion +16, Stealth +9","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 27","Common, Draconic",,,Fire,,55,17,
